PERMNO,date,VOL,RET,vwretd,ewretd,sprtrn
18542,20070831,3341100,0.014867,0.012294,0.012035,0.011217
18542,20070904,4471946,0.014254,0.011107,0.008003,0.010468
18542,20070905,4675700,-0.017046,-0.010075,-0.007605,-0.011501
18542,20070906,4617400,0.00278,0.004423,0.003937,0.004252
18542,20070907,6397400,-0.030495,-0.016223,-0.012456,-0.016908
18542,20070910,4762100,0.004085,-0.002902,-0.005696,-0.001273
18542,20070911,4689000,0.002034,0.013511,0.009619,0.013632
18542,20070912,5681500,-0.015158,0.000217,-0.001838,0.000048
18542,20070913,4667010,0.003023,0.007388,0.001737,0.00842
18542,20070914,4028800,0.002329,0.001269,0.00202,0.000202
18542,20070917,4660750,0.007244,-0.005811,-0.007233,-0.00512
18542,20070918,7460150,0.05116,0.029284,0.023126,0.029208
18542,20070919,7598050,0.00581,0.00578,0.008313,0.006086
18542,20070920,4515792,-0.006931,-0.005202,-0.004041,-0.006723
18542,20070921,5950250,0.010211,0.004908,0.004343,0.004609
18542,20070924,5682700,-0.00563,-0.004465,-0.004006,-0.005256
18542,20070925,6759000,-0.01737,-0.00044,-0.002189,-0.000343
18542,20070926,6032600,0.003797,0.005502,0.005468,0.005411
18542,20070927,4773400,0.010566,0.005353,0.006289,0.003907
18542,20070928,5642689,0.012392,-0.002693,-0.001759,-0.003023
18542,20071001,4480096,0.014408,0.013721,0.01251,0.01329
18542,20071002,5049604,0.001006,0.000502,0.004613,-0.000265
18542,20071003,4610399,-0.013561,-0.005149,-0.003678,-0.004552
18542,20071004,4305961,0.001018,0.002715,0.003147,0.002111
18542,20071005,6656400,0.02149,0.01182,0.012578,0.00956
18542,20071008,3633055,0.012573,-0.003015,-0.00233,-0.003217
18542,20071009,4899563,0.014384,0.008052,0.006015,0.008096
18542,20071010,5167600,-0.016362,-0.000234,0.001133,-0.001712
18542,20071011,6783970,-0.021193,-0.00519,-0.007075,-0.005158
18542,20071012,4482469,0.010826,0.005323,0.005038,0.004754
18542,20071015,6570500,-0.018182,-0.00859,-0.008211,-0.008381
18542,20071016,6320113,-0.013825,-0.007028,-0.006445,-0.006573
18542,20071017,7305250,-0.007974,0.002856,0.001282,0.001761
18542,20071018,7790901,0.011539,0.000367,0.000275,-0.000753
18542,20071019,19713040,-0.052666,-0.024579,-0.020862,-0.025616
18542,20071022,10289200,-0.000951,0.003271,0.003888,0.003798
18542,20071023,7150883,0.012517,0.010247,0.007452,0.008803
18542,20071024,9153645,0.018409,-0.003231,-0.004885,-0.002441
18542,20071025,6588885,-0.014778,-0.001014,-0.002178,-0.000976
18542,20071026,4844400,0.004955,0.013814,0.010359,0.013788
18542,20071029,6442262,-0.015192,0.005378,0.002905,0.003713
18542,20071030,4090200,-0.005954,-0.006902,-0.005777,-0.006463
18542,20071031,6218312,0.015655,0.01318,0.009573,0.011992
18542,20071101,6177600,-0.017424,-0.025894,-0.02411,-0.026423
18542,20071102,5968947,0.019779,0.002062,-0.000496,0.000802
18542,20071105,5986903,-0.016854,-0.006619,-0.009896,-0.004955
18542,20071106,5091235,0.01932,0.012831,0.006438,0.012049
18542,20071107,4673308,-0.017619,-0.026873,-0.022753,-0.02937
18542,20071108,9649863,-0.015897,-0.000589,-0.001326,-0.000576
18542,20071109,8790913,-0.027889,-0.015038,-0.010192,-0.014287
18542,20071112,7589021,-0.011504,-0.014027,-0.011189,-0.009988
18542,20071113,7242987,0.021121,0.027903,0.018369,0.029093
18542,20071114,7505273,-0.014633,-0.005798,-0.004734,-0.007069
18542,20071115,7699524,-0.004284,-0.014099,-0.011762,-0.013212
18542,20071116,7640246,-0.004159,0.004584,-0.001511,0.00523
18542,20071119,7385531,-0.017857,-0.018686,-0.020127,-0.01746
18542,20071120,7487836,0.001173,0.003994,-0.003493,0.004486
18542,20071121,6311193,-0.004979,-0.015272,-0.01139,-0.015927
18542,20071123,2459811,0.010156,0.016334,0.015283,0.016891
18542,20071126,4519968,-0.011657,-0.020446,-0.016998,-0.023239
18542,20071127,7098800,0.014595,0.01218,0.003977,0.01493
18542,20071128,6637188,0.034438,0.029412,0.024263,0.02856
18542,20071129,5272174,0.007445,-0.000343,-0.000088,0.000477
18542,20071130,5654921,0.00251,0.007108,0.00704,0.00777
18542,20071203,5505400,0.002225,-0.005528,-0.006714,-0.005887
18542,20071204,5083100,-0.000694,-0.007245,-0.007345,-0.00654
18542,20071205,4418200,0.009721,0.014448,0.010811,0.01519
18542,20071206,4659400,0.022555,0.015723,0.016994,0.015037
18542,20071207,3804500,-0.002018,-0.000222,0.002029,-0.001778
18542,20071210,7569700,0.032076,0.007776,0.005163,0.00751
18542,20071211,8788500,-0.037347,-0.025431,-0.020362,-0.025271
18542,20071212,6841800,0.001356,0.005691,0.002328,0.00605
18542,20071213,4708200,0.005419,-0.00099,-0.005211,0.001224
18542,20071214,4083000,-0.011183,-0.013465,-0.013185,-0.013746
18542,20071217,9342700,-0.030386,-0.016021,-0.017896,-0.015021
18542,20071218,7376600,-0.001546,0.006432,0.007592,0.00628
18542,20071219,4243900,-0.002956,-0.000333,0.000468,-0.001361
18542,20071220,3286500,0.009458,0.006286,0.00577,0.0049
18542,20071221,7344300,0.017061,0.017092,0.015064,0.01667
18542,20071224,2176000,-0.000413,0.00914,0.009065,0.008077
18542,20071226,3466400,0.013618,0.001501,0.003201,0.000809
18542,20071227,3338200,-0.013028,-0.013542,-0.014165,-0.014216
18542,20071228,3048300,0.005912,0.002043,-0.000388,0.001436
18542,20071231,2639500,-0.008201,-0.006524,0.001093,-0.006852
18542,20080102,6337700,-0.026599,-0.011799,-0.00658,-0.014438
18542,20080103,4386000,-0.00354,-0.000952,-0.004544,0
18542,20080104,7697100,-0.026286,-0.025649,-0.022417,-0.024552
18542,20080107,8790900,0.002918,0.000197,-0.001854,0.003223
18542,20080108,7662800,-0.022989,-0.017024,-0.014033,-0.018352
18542,20080109,9845500,0.001191,0.010005,-0.000434,0.013624
18542,20080110,6914600,0.002677,0.008402,0.009699,0.007948
18542,20080111,9247600,-0.020768,-0.013902,-0.011295,-0.013595
18542,20080114,8106700,0.019088,0.010457,0.007797,0.010871
18542,20080115,9354000,-0.027798,-0.024734,-0.018427,-0.024925
18542,20080116,13079500,-0.017278,-0.006669,-0.000088,-0.005612
18542,20080117,11011400,-0.022405,-0.027715,-0.021596,-0.029093
18542,20080118,9225400,0.005443,-0.005572,-0.007317,-0.006045
18542,20080122,9870400,0.01608,-0.009412,-0.010336,-0.011085
18542,20080123,10895900,0.019743,0.019795,0.018216,0.021442
18542,20080124,8162600,0.002612,0.012553,0.011073,0.010063
18542,20080125,9286600,0.010421,-0.012994,-0.00154,-0.015872
18542,20080128,10984100,0.034582,0.017171,0.013508,0.017556
18542,20080129,8283600,0.011435,0.006383,0.007683,0.006152
18542,20080130,7904700,-0.007972,-0.005366,-0.002545,-0.004764
18542,20080131,8827500,0.037259,0.014955,0.015154,0.016772
18542,20080201,6526300,0.010847,0.015986,0.015751,0.012238
18542,20080204,4565300,-0.011288,-0.008982,-0.003026,-0.010463
18542,20080205,11709400,-0.048344,-0.030842,-0.021564,-0.031995
18542,20080206,7305000,0.006813,-0.007992,-0.007234,-0.007624
18542,20080207,6506000,0.005001,0.007728,0.00519,0.007886
18542,20080208,4495900,-0.004537,-0.002062,-0.002751,-0.004204
18542,20080211,4979200,0.020732,0.005802,0.002814,0.005889
18542,20080212,6703500,0.008355,0.006273,0.004114,0.007266
18542,20080213,7502000,0.023571,0.014371,0.01317,0.013604
18542,20080214,5418700,-0.016888,-0.01321,-0.013637,-0.013421
18542,20080215,5355800,-0.006956,-0.000454,-0.004058,0.000838
18542,20080219,5415500,0.006433,0.000613,0.002554,-0.000896
